Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
Argentina,"LEY DE PROTECCION INTEGRAL DE LOS DERECHOS DE LAS NI√ëAS, NI√ëOS Y ADOLESCENTES Ley 26.061","Law No. 26.061 on the Protection of Girls, Boys and Adolescents","Argentina (LEY DE PROTECCION INTEGRAL DE LOS DERECHOS DE LAS NIÑAS, NIÑOS Y ADOLESCENTES Ley 26.061).txt",In Effect,Argentina,Argentina,[Not Applicable],2000,2000,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/110000-114999/110778/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Article 22,
Argentina,Resoluci√≥n 86/2019,AAIP Resolution No. 86/2019,Argentina (Resolución 86_2019).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2019,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/320000-324999/323901/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,Resoluci√≥n 4/2019,AAIP Resolution 4/2019,Argentina (Resolución 4_2019).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2019,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/315000-319999/318874/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,Resoluci√≥n 47/2018,AAIP Resolution No. 47/2018,Argentina (Resolución 47_2018).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2018,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/310000-314999/312662/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,Disposici√≥n 11/2006,Dispositions No. 11/2006,Argentina (Disposición 11_2006).txt,Repealed,Argentina,Argentina,[Not Applicable],2000,2006,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://www.jus.gob.ar/media/33445/disp_2006_11.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Repealed by AAIP Resolution No. 47/2018,
Argentina,Disposici√≥n 9/2008,PDP No. 9/2008,Argentina (Disposición 9_2008).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2008,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/140000-144999/144072/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Repealed by AAIP Resolution No. 47/2018,
Argentina,ÀàGu√≠a de Buenas Pr√°cticas para el desarrollo de AppsÀà,PDP Resolution No. 18/2018,Argentina (ˈGuía de Buenas Prácticas para el desarrollo de Appsˈ).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2018,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://www.jus.gob.ar/media/3075908/guiabpsoftware.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,Tratamiento de datos personales ante el Coronavirus,guidelines for the processing of personal data due to Coronavirus,Argentina (Tratamiento de datos personales ante el Coronavirus).txt,In Effect,Argentina,Argentina,[Not Applicable],2020,2020,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,https://www.argentina.gob.ar/noticias/tratamiento-de-datos-personales-ante-el-coronavirus,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Armenia,Law of the Republic of Armenia of 13 June 2015 No. 49-ZR on the Protection of Personal Data,[Not Applicable],Armenia (Law of the Republic of Armenia of 13 June 2015 No. 49-ZR on the Protection of Personal Data).txt,In Effect,Armenia,Armenia,Both,2002,2015,2015,ICCPR+OP; CoE108(RP),CoE,Armenian/English,[None],Y,https://www.moj.am/storage/uploads/Personal_data_protection_law_ENG_OFFICIAL.pdf,Official Translation ,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Armenia,Labour Code of the Republic of Armenia of 2004,[Not Applicable],Armenia (Labour Code of the Republic of Armenia of 2004).txt,In Effect,Armenia,Armenia,[Not Applicable],2004,2004,[None],ICCPR+OP; CoE108(RP),CoE,Armenian/English,[None],N,http://www.ilo.org/dyn/travail/docs/961/Labour%20Code%20ENG.pdf,Unofficial Translation,https://www.dataguidance.com/jurisdiction/armenia,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Armenia,Law of 7 October 1996 No. HO-80 on Bank Secrecy (June 1996),[Not Applicable],Armenia (Law of 7 October 1996 No. HO-80 on Bank Secrecy (June 1996)).txt,In Effect,Armenia,Armenia,[Not Applicable],1996,1996,[None],ICCPR+OP; CoE108(RP),CoE,Armenian/English,[None],Y,http://www.parliament.am/law_docs/141096HO80eng.pdf,Official Translation ,https://www.dataguidance.com/jurisdiction/armenia,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Armenia,’Ä‘±’Ö‘±’ç’è‘±’Ü‘ª’Ä‘±’Ü’ê‘±’ä‘µ’è’à’í‘π’Ö‘±’Ü ’ï’ê‘µ’Ü’î‘∏’è‘µ’Ç‘µ‘ø‘±’è’é’à‘ª‘π’Ö‘±’Ü‘±‘∂‘±’è’à’í‘π’Ö‘±’Ü ’Ñ‘±’ç‘ª’Ü,Law on Freedom of Information,Armenia (Law on Freedom of Information).txt,In Effect,Armenia,Armenia,[Not Applicable],2003,2003,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,http://www.parliament.am/legislation.php?sel=show&ID=1390&lang=arm&enc=utf8,Y,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Armenia,’è‘µ’ç‘±’Ä’ç‘ø’Ñ‘±’Ü ’à’í’Ç‘µ’ë’à’í’Ö’ë,Video Surveillance guide,Armenia (Video Surveillance guide).txt,In Effect,Armenia,Armenia,[Not Applicable],2016,2016,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,https://www.moj.am/storage/uploads/002Video_surveillance_guide.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Armenia,’à÷Ç’≤’•÷Å’∏’µ÷Å ’´’∂’π’∫’•’Ω ’°’∂’æ’ø’°’∂’£’§’°÷Ä’±’∂’•’¨ ’´ . Instagram’ß’ª’∂ ’∏’§÷Ä’°’∂’∏’¥ ’∫’°’∞’æ’∏’≤ ’°’∂’±’∂’°’Ø’°’∂’ø’æ’µ’°’¨’∂’•÷Ä’®,Guidelines on how to make your Instagram page and personal information secure,Armenia (Guidelines on how to make your Instagram page and personal information secure).txt,In Effect,Armenia,Armenia,[Not Applicable],2019,2019,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,https://www.moj.am/storage/uploads/00.Insta.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Armenia,’à’í’Ç‘µ’ë’à’í’Ö’ë: ‘±’∂’±’∂’°’Ø’°’∂’ø’æ’µ’°’¨’∂’•÷Ä’´ ’¥’∑’°’Ø’∏÷Ç’¥’®’∞’´’∑’∏’≤’∏÷Ç’©’µ’°’∂ ’Ω’°÷Ä÷Ñ’•÷Ä’∫’°÷Ä’∏÷Ç’∂’°’Ø’∏’≤ ’Ω’°÷Ä÷Ñ’°’æ’∏÷Ä’∏÷Ç’¥’∂’•÷Ä’´’ø’•’≠’∂’´’Ø’°’Ø’°’∂ ’Ω’∫’°’Ω’°÷Ä’Ø’¥’°’∂ ’•÷Ç’æ’•÷Ä’°’∂’∏÷Ä’∏’£’¥’°’∂’Æ’°’º’°’µ’∏÷Ç’©’µ’∏÷Ç’∂’∂’•÷Ä ’¥’°’ø’∏÷Ç÷Å’∏’≤’∂’•÷Ä’´’Ø’∏’≤’¥’´÷Å,Guidelines on personal data processing by service providers for maintenance and repair of equipment containing memory devices,Armenia (Guidelines on personal data processing by service providers for maintenance and repair of equipment containing memory devices).txt,In Effect,Armenia,Armenia,[Not Applicable],2018,2018,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,https://www.moj.am/storage/uploads/Hishoxutyan-sarqer-uxecuyc.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Armenia,’ä‘µ’è‘±‘ø‘±’Ü ’Ñ‘±’ê’Ñ‘ª’Ü’Ü‘µ’ê‘ª‘ø’à’Ç’Ñ‘ª’ë ‘±’Ü’Å’Ü‘±‘ø‘±’Ü’è’é’Ö‘±‘º’Ü‘µ’ê‘ª ’Ñ’á‘±‘ø’Ñ‘±’Ü’à’í’Ç‘µ’ë’à’í’Ö’ë,Guidelines on processing personal data by state bodies,Armenia (Guidelines on processing personal data by state bodies).txt,In Effect,Armenia,Armenia,[Not Applicable],2019,2019,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,https://www.moj.am/storage/uploads/123Uxecuyc-cucumner.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Armenia,"‘∂’£’∏÷Ç’õ’µ’∑, ’•÷Ä’•’≠’°’∂’•÷Ä ’•’∂: ’∏÷Ç’≤’•÷Å’∏÷Ç’µ÷Å’•÷Ä’•’≠’°’∂’•÷Ä’´ ’°’∂’±’∂’°’Ø’°’∂’ø’æ’µ’°’¨’∂’•÷Ä’´ ’∫’°’∑’ø’∫’°’∂’∏÷Ç’©’µ’°’∂’æ’•÷Ä’°’¢’•÷Ä’µ’°’¨ ’•÷Ä’•’≠’°’∂’•÷Ä’´ ’•÷Ç’¢’∏’¨’∏÷Ä’´ ’∞’°’¥’°÷Ä","Be careful, they are children: A Guide to children's personal information","Armenia(Be careful, they are children- A Guide to children_s personal information).txt",In Effect,Armenia,Armenia,[Not Applicable],2018,2018,[None],ICCPR+OP; CoE108(RP),CoE,Armenian,https://www.unicef.org/armenia/media/2761/file,N,[None],Non-Government Machine,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Armenia,Important steps which need to be undertaken in order to protect your personal data after selling your phone,[Not Applicable],Armenia (Important steps which need to be undertaken in order to protect your personal data after selling your phone).txt,In Effect,Armenia,Armenia,[Not Applicable],2019,2019,[None],ICCPR+OP; CoE108(RP),CoE,Armenian/English,https://www.moj.am/storage/uploads/Personal_data_protection_law_ENG_OFFICIAL.pdf,N,[None],Official Translation ,https://www.dataguidance.com/legal-research/law-republic-armenia-13-june-2015-no-49-zr,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Aruba,Burgerlijk Wetboek Boek 7A,the Netherlands Antilles and the Aruba Civil Code,Aruba (Burgerlijk Wetboek Boek 7A).txt,In Effect,Aruba,Aruba,[Not Applicable],2001,2001,2001,Not-UN,[Not Applicable],Dutch,https://decentrale.regelgeving.overheid.nl/cvdr/xhtmloutput/Historie/Nederlandse%20Antillen/2259/2259_1.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/jurisdiction/aruba,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Aruba,State Ordinance containing new rules for the identification and verification of clients and the reporting of unusual transactions to prevent and combat money laundering and terrorist financing when providing certain services,[Not Applicable],Aruba(State Ordinance containing new rules).txt,In Effect,Aruba,Aruba,[Not Applicable],2019,2019,2019,Not-UN,[Not Applicable],Dutch/English,[None],N,https://www.cbaruba.org/cba/readBlob.do?id=6496,Unofficial Translation,https://www.dataguidance.com/jurisdiction/aruba,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Australia,Privacy Act 1988,[Not Applicable],Australia (Privacy Act 1988).txt,In Effect,Australia,Australia,Both,1998,1988,2020,ICCPR+OP; CPTPP(R); CBPRs(S),APEC; OECD,English,https://www.legislation.gov.au/Details/C2021C00024,Y,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Australia,Privacy Regulation 2013,[Not Applicable],Australia (Privacy Regulation 2013).txt,In Effect,Australia,Australia,[Not Applicable],2013,2013,[None],ICCPR+OP; CPTPP(R); CBPRs(S),APEC; OECD,English,https://www.dataguidance.com/legal-research/privacy-regulation-2013-select-legislative,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/australia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Australia,Competition and Consumer Act 2010,[Not Applicable],Australia (Competition and Consumer Act 2010).txt,In Effect,Australia,Australia,[Not Applicable],2010,2010,2020,ICCPR+OP; CPTPP(R); CBPRs(S),APEC; OECD,English,https://www.legislation.gov.au/Details/C2021C00055,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/australia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Australia,Consumer Data Right Privacy Safeguard Guidelines,[Not Applicable],Australia (Consumer Data Right Privacy Safeguard Guidelines).txt,In Effect,Australia,Australia,[Not Applicable],2020,2020,2020,ICCPR+OP; CPTPP(R); CBPRs(S),APEC; OECD,English,https://www.oaic.gov.au/assets/consumer-data-right/cdr-privacy-safeguard-guidelines-v2.0-july-2020.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/australia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Austria,Bundesgesetz √ºber den Schutz personenbezogener Daten (Datenschutzgesetz ‚Äì DSG),Federal Act Concerning the Protection of Personal Data,Austria (Bundesgesetz über den Schutz personenbezogener Daten).txt,In Effect,Austria,Austria,Both,[None],1999,2019,ICCPR+OP; EU(M); CoE108(RP) CoE108+(S),OECD,German/English,https://www.ris.bka.gv.at/Dokumente/Erv/ERV_1999_1_165/ERV_1999_1_165.pdf,Y,https://www.ris.bka.gv.at/Dokumente/Erv/ERV_1999_1_165/ERV_1999_1_165.pdf,Official Translation ,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/31/21,5/31/21,[Not Applicable],
Austria,"120. Bundesgesetz, mit dem das Datenschutzgesetz 2000 ge√§ndert wird (DatenschutzAnpassungsgesetz 2018)",Federal Law Amending the DSG 2018,"Austria (120. Bundesgesetz, mit dem das Datenschutzgesetz 2000 geändert wird).txt",In Effect,Austria,Austria,[Not Applicable],2018,2018,2018,ICCPR+OP; EU(M); CoE108(RP) CoE108+(S),OECD,German,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2017_I_120/BGBLA_2017_I_120.pdfsig,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/austria-national-gdpr-implementation,gpi-corpus/laws/plain text files/english text files/english translated text files,5/31/21,5/31/21,[Not Applicable],
Austria,Verordnung (EU) 2016/679 ‚Äì Datenschutz-Grundverordnung Leitfaden,general guideline document on the GDPR,Austria (Verordnung (EU) 2016_679 – Datenschutz-Grundverordnung Leitfaden).txt,In Effect,Austria,Austria,[Not Applicable],2016,2016,[None],ICCPR+OP; EU(M); CoE108(RP) CoE108+(S),OECD,German,https://www.dataguidance.com/notes/austria-data-protection-overview,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/austria-national-gdpr-implementation,gpi-corpus/laws/plain text files/english text files/english translated text files,6/27/21,6/27/21,[Not Applicable],
